"state","high_school_completion","bachelor_or_higher","year","avg_unemp_rate"
"Delaware",90.43983,33.960163,2020,7.525
"District Of Columbia",91.82285,59.762774,2020,7.96666666666667
"Florida",88.438047,30.716057,2020,8.06666666666667
"Georgia",87.893967,32.459857,2020,6.55
"Hawaii",92.250971,33.04746,2020,11.7416666666667
"Idaho",91.896476,29.134895,2020,5.55
"Illinois",89.94905,36.045573,2020,9.33333333333333
"Indiana",89.62697,27.147395,2020,7.38333333333333
"Iowa",92.859679,29.618612,2020,5.21666666666667
"Kansas",91.617291,33.150649,2020,5.825
"Kentucky",87.231875,25.31076,2020,6.45
"Louisiana",85.986306,24.965204,2020,8.68333333333333
"Maine",93.063838,32.878494,2020,5.11666666666667
"Maryland",90.462432,40.880524,2020,6.51666666666667
"Massachusetts",91.37307,44.981285,2020,9.34166666666667
"Michigan",91.351709,30.151502,2020,10.075
"Minnesota",93.517984,37.262171,2020,6.29166666666667
"Mississippi",85.120233,22.011605,2020,8
"Missouri",90.644138,30.216463,2020,6.21666666666667
"Montana",94.237519,33.018848,2020,5.825
"Nebraska",92.198963,33.757786,2020,4.26666666666667
"Nevada",86.89195,25.712972,2020,13.675
"New Hampshire",93.455328,38.107907,2020,6.75
"New Jersey",90.358426,41.174821,2020,9.48333333333333
"New Mexico",86.082257,28.243857,2020,7.925
"New York",87.624312,37.890987,2020,9.90833333333333
"North Carolina",88.60907,32.202466,2020,7.325
"North Dakota",93.398769,29.404996,2020,5.00833333333333
"Ohio",90.873955,29.401319,2020,8.25833333333333
"Oklahoma",88.286618,26.098131,2020,6.3
"Oregon",91.269271,34.20031,2020,7.575
"Pennsylvania",91.095645,32.457957,2020,8.83333333333333
"Rhode Island",89.461925,34.961853,2020,9.25833333333333
"South Carolina",88.265114,29.440263,2020,6
"South Dakota",92.286003,29.890844,2020,4.14166666666667
"Tennessee",87.955912,28.761855,2020,7.49166666666667
"Texas",84.662911,30.773581,2020,7.725
"Utah",93.057883,35.230959,2020,4.83333333333333
"Vermont",93.247006,39.315704,2020,5.65
"Virginia",90.261811,39.756179,2020,6.51666666666667
"Washington",91.659759,36.918685,2020,8.7
"West Virginia",87.041346,21.536189,2020,8.33333333333333
"Wisconsin",92.727401,31.179386,2020,6.43333333333333
"Wyoming",94.513551,29.085472,2020,5.85833333333333
